"","GeneID","Function","GeneName","Func_Categ"
"12647","Vcard_DToL17137","WASP homology region 1","ENAH","VASP_tetra,WH1"
"12652","Vcard_DToL17142","Protein tyrosine kinase","MAP4K1","CNH,Pkinase"
"12800","Vcard_DToL17342","-","-","-"
"12841","Vcard_DToL14960","RAWUL domain RING finger- and  WD40-associated ubiquitin-like","PCGF3","RAWUL,zf-C3HC4_2"
"12954","Vcard_DToL15116","Zinc ion binding","-","CH,EF-hand_2,EF-hand_3,Spectrin,WW,ZZ"
"12966","Vcard_DToL15133","-","-","-"
"13004","Vcard_DToL15182","protein capicua homolog","CIC","DUF4819,HMG_box"
"13010","Vcard_DToL15186","Tctex-1 family","DYNLT1","Tctex-1"
"13050","Vcard_DToL15247","Glyco_18","Cht5","CBM_14,Glyco_hydro_18"
"13061","Vcard_DToL15257","Glycine cleavage H-protein","-","GCV_H"
"13086","Vcard_DToL15287","Sel1-like repeats.","KIAA0141","Sel1"
"13090","Vcard_DToL15283","25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2","C7orf60","Bmt2"
"13100","Vcard_DToL15301","intracellular transport","-","-"
"13131","Vcard_DToL15336","Mediator complex subunit 24 N-terminal","MED24","Med24_N"
"13191","Vcard_DToL15418","It is involved in the biological process described with microtubule cytoskeleton organization","ens","MAP7"
"13202","Vcard_DToL15429","AMP-binding enzyme","ACSS3","ACAS_N,AMP-binding,AMP-binding_C"
"13239","Vcard_DToL15480","Homodimerisation domain of SGTA","SGTB","SGTA_dimer,TPR_1,TPR_11,TPR_2,TPR_8"
"13411","Vcard_DToL04967","Acyltransferase C-terminus","AGPAT3","Acyltransf_C,Acyltransferase"
"13414","Vcard_DToL04966","DiGeorge syndrome critical region 6 (DGCR6) protein","DGCR6","DGCR6"
"13453","Vcard_DToL05028","Conserved hypothetical ATP binding protein","GPN2","ATP_bind_1"
"13476","Vcard_DToL05050","Death domain","FADD","DED,Death"
"13497","Vcard_DToL05075","CS domain","NUDC","CS,NuDC,Nudc_N"
"13498","Vcard_DToL05077","CS domain","NUDC","CS,NuDC,Nudc_N"
"13508","Vcard_DToL05094","Cysteine-type peptidase activity. It is involved in the biological process described with proteolysis","SENP6","Peptidase_C48"
"13586","Vcard_DToL05190","Plasma-membrane choline transporter","SLC44A1","Choline_transpo"
"13593","Vcard_DToL05189","Mitochondrial ribosomal protein L55","MRPL55","Mitoc_L55"
"13595","Vcard_DToL05193","RNA binding","PAIP1","MIF4G,PAM2"
"13654","Vcard_DToL05264","GNS1/SUR4 family","-","ELO"
"13656","Vcard_DToL05267","Elongation of very long chain fatty acids protein","-","ELO"
"13721","Vcard_DToL05345","Trypsin Inhibitor like cysteine rich domain","-","TIL"
"13764","Vcard_DToL05402","protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation","NUAK1","Pkinase"
"13828","Vcard_DToL01779","FtsJ-like methyltransferase","CMTR2","FtsJ"
"13871","Vcard_DToL01832","Broad-Complex, Tramtrack and Bric a brac","-","BTB"
"13987","Vcard_DToL01978","RNA processing","-","-"
"14009","Vcard_DToL02003","transferase activity, transferring phosphorus-containing groups","SCYL3","Pkinase"
"14012","Vcard_DToL02010","Torsin","TOR1A","Torsin"
"14029","Vcard_DToL02031","-","-","-"
"14076","Vcard_DToL02091","Leucine-rich repeat-containing protein","LRRC57","LRR_1,LRR_4,LRR_8"
"14126","Vcard_DToL02160","Fibronectin type 3 domain","HCFC2","Kelch_1,Kelch_3,Kelch_4,Kelch_5"
"14131","Vcard_DToL02158","Domain of unknown function (DUF4500)","Smim8","DUF4500"
"14134","Vcard_DToL02168","Belongs to the peroxisomal membrane protein PXMP2 4 family","MPV17","Mpv17_PMP22"
"14176","Vcard_DToL02226","ABC transporter transmembrane region","ABCC4","ABC_membrane,ABC_tran"
"14177","Vcard_DToL02228","RAI1 like PD-(D/E)XK nuclease","DXO","RAI1"
"14194","Vcard_DToL02252","PMP-22/EMP/MP20/Claudin tight junction","pck","Claudin_2"
"14218","Vcard_DToL02271","Myelin proteolipid protein (PLP or lipophilin)","GPM6B","Myelin_PLP"
"14292","Vcard_DToL02358","P21-Rho-binding domain","PAK3","PBD,Pkinase"
"14295","Vcard_DToL02371","Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Binds to and activates cyclin-dependent kinase Cdk8 that phosphorylates the CTD (C-terminal domain) of the large subunit of RNA polymerase II (RNAp II), which may inhibit the formation of a transcription initiation complex","CCNC","Cyclin_C_2,Cyclin_N"
"14428","Vcard_DToL02541","Fip1 motif","-","FF,Fip1"
"14450","Vcard_DToL02568","Zinc finger, C2H2 type","-","zf-C2H2"
"14490","Vcard_DToL02622","Dimerisation domain of Ca+-activated chloride-channel, anoctamin","ANO1","Anoct_dimer,Anoctamin"
"14497","Vcard_DToL02632","WH1 domain","WASL","PBD,WH1,WH2"
"14506","Vcard_DToL02640","Sugar (and other) transporter","-","MFS_1,Sugar_tr"
